date,Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
2022-01-01,Furniture,SKU_001,408.44,In Stock,12,4901.28,Senior,121,4,87,8,Carrier X,32.05,Supplier C,South,6,819,12,253.08,Fail,0.0001,Air,Route 1,373.82
2022-01-01,Clothing,SKU_002,53.18,In Stock,8,425.44,Adult,187,4,55,4,Carrier X,7.09,Supplier C,East,6,890,11,23.71,Pass,0.0966,Road,Route 2,374.15
2022-01-01,Electronics,SKU_003,153.9,Out of Stock,9,1385.1,Youth,7,4,78,1,Carrier Y,34.81,Supplier B,South,7,615,14,178.96,Pass,0.097,Road,Route 2,455.64
2022-01-01,Clothing,SKU_004,377.27,In Stock,5,1886.35,Youth,189,9,85,2,Carrier Z,42.29,Supplier B,North,13,237,16,97.28,Pass,0.0802,Air,Route 1,988.2
2022-01-01,Electronics,SKU_005,139.42,Out of Stock,14,1951.88,Youth,47,8,23,8,Carrier X,37.83,Supplier B,East,4,788,9,292.08,Pass,0.0761,Road,Route 3,793.87
2022-01-02,Furniture,SKU_001,68.2,In Stock,9,613.8,Youth,178,8,52,4,Carrier Y,11.27,Supplier C,North,12,590,8,284.0,Pass,0.029,Road,Route 2,661.92
2022-01-02,Clothing,SKU_002,335.03,Out of Stock,10,3350.3,Adult,189,12,92,9,Carrier Z,45.81,Supplier A,North,12,682,8,118.72,Pass,0.0007,Sea,Route 1,536.35
2022-01-02,Electronics,SKU_003,103.94,Out of Stock,7,727.58,Youth,179,2,62,1,Carrier Y,48.31,Supplier B,East,3,436,5,61.46,Fail,0.0037,Air,Route 2,552.41
2022-01-02,Clothing,SKU_004,64.87,Out of Stock,15,973.05,Adult,52,13,90,6,Carrier Z,35.25,Supplier C,West,12,450,19,244.88,Pass,0.0632,Road,Route 2,582.2
2022-01-02,Electronics,SKU_005,117.82,In Stock,7,824.74,Senior,163,4,90,3,Carrier Z,15.19,Supplier C,West,10,978,12,128.29,Fail,0.0838,Sea,Route 1,202.13
